lat,lon,p_reunion_timed
-40.0,93.0,0.004640
-40.0,93.5,0.004404
-40.0,94.0,0.004352
-40.0,94.5,0.004498
-40.0,95.0,0.004059
-40.0,95.5,0.004233
-40.0,96.0,0.005503
-40.0,96.5,0.005457
-40.0,97.0,0.005232
-40.0,97.5,0.005308
-40.0,98.0,0.005042
-40.0,98.5,0.007951
-40.0,99.0,0.007945
-40.0,99.5,0.007381
-40.0,100.0,0.007452
-40.0,100.5,0.007539
-40.0,101.0,0.006028
-40.0,101.5,0.002346
-40.0,102.0,0.002346
-40.0,102.5,0.002346
-40.0,103.0,0.002346
-40.0,103.5,0.002346
-39.5,82.0,0.000012
-39.5,82.5,0.000012
-39.5,83.0,0.000012
-39.5,83.5,0.000012
-39.5,84.0,0.000012
-39.5,84.5,0.000012
-39.5,85.0,0.000012
-39.5,85.5,0.000012
-39.5,86.0,0.000012
-39.5,86.5,0.000012
-39.5,87.0,0.000022
-39.5,87.5,0.000022
-39.5,88.0,0.000062
-39.5,88.5,0.002792
-39.5,89.0,0.002687
-39.5,89.5,0.002855
-39.5,90.0,0.002842
-39.5,90.5,0.005323
-39.5,91.0,0.006102
-39.5,91.5,0.005285
-39.5,92.0,0.005177
-39.5,92.5,0.005492
-39.5,93.0,0.004640
-39.5,93.5,0.004404
-39.5,94.0,0.004352
-39.5,94.5,0.004498
-39.5,95.0,0.004059
-39.5,95.5,0.004233
-39.5,96.0,0.005503
-39.5,96.5,0.005457
-39.5,97.0,0.005232
-39.5,97.5,0.005308
-39.5,98.0,0.005042
-39.5,98.5,0.007951
-39.5,99.0,0.007945
-39.5,99.5,0.007381
-39.5,100.0,0.007452
-39.5,100.5,0.007539
-39.5,101.0,0.006028
-39.5,101.5,0.002346
-39.5,102.0,0.002346
-39.5,102.5,0.002346
-39.5,103.0,0.002346
-39.5,103.5,0.002346
-39.0,82.0,0.000012
-39.0,82.5,0.000012
-39.0,83.0,0.000012
-39.0,83.5,0.000012
-39.0,84.0,0.000012
